,freq
"('가격', '빠르다')",3
"('시장', '유리')",3
"('감사하다', '받다')",3
"('가격', '배송')",3
"('먹다', '사람')",3
"('맛', '유리')",3
"('먹다', '자르다')",3
"('먹다', '문해')",3
"('맛있다', '문해')",3
"('구매', '넣다')",3
"('구매', '추가')",3
"('먹다', '선물')",3
"('굽다', '먹다')",3
"('만족스럽다', '주문')",3
"('궁채', '나물')",3
"('느끼하다', '좋다')",3
"('문해', '재주')",3
"('고기', '보고')",3
"('의사', '장아찌')",3
"('감사하다', '구입')",3
"('삼겹살', '좋다')",3
"('두번째', '맛있다')",3
"('꼼꼼하다', '배송')",3
"('구입', '배송')",3
"('구입', '빠르다')",3
"('궁채', '엄마')",3
"('궁채', '포장')",3
"('김밥', '아주')",3
"('느끼하다', '음식')",3
"('도', '먹다')",3
"('아주', '주문')",3
"('드리다', '후기')",3
"('재', '좋다')",3
"('맛있다', '후기')",3
"('도', '맛있다')",3
"('좋다', '추가')",3
"('그렇다', '짜다')",3
"('궁합', '좋다')",3
"('고기', '구매')",3
"('담그다', '먹다')",3
"('무치다', '아주')",3
"('먹다', '해봤다')",3
"('장아찌', '짜다')",3
"('굿굿', '맛있다')",3
"('없다', '자다')",3
"('먹다', '물')",3
"('고기', '자다')",3
"('맛있다', '물')",3
"('먹다', '역시')",3
"('좋다', '통')",3
"('벌써', '좋다')",3
"('먹다', '벌써')",3
"('개운하다', '먹다')",3
"('개운하다', '맛')",3
"('개운하다', '없다')",3
"('맛', '반찬')",3
"('제품', '좋다')",3
"('반찬', '처음')",3
"('맛있다', '아삭거리다')",3
"('맛있다', '초석')",3
"('선물', '좋다')",3
"('먹다', '용기')",3
"('개', '좋다')",3
"('맛있다', '주변')",3
"('반찬', '장아찌')",3
"('맛있다', '친구')",3
"('무', '좋다')",3
"('좋아하다', '통')",3
"('무치다', '좋다')",3
"('곳', '맛')",3
"('맛있다', '잠')",3
"('맛있다', '하니')",3
"('궁채', '아주')",3
"('궁채', '무치다')",3
"('맛있다', '빨갛다')",3
"('김밥', '단무지')",3
"('맛', '정말')",3
"('배송', '상태')",3
"('넣다', '장아찌')",3
"('그냥', '맛있다')",3
"('정말', '좋다')",3
"('맛', '자주')",3
"('식감', '정말')",3
"('맛', '살짝')",3
"('맛있다', '이제')",3
"('게', '맛있다')",3
"('별로', '종류')",3
"('입맛', '자다')",3
"('맛', '종류')",3
"('맛', '별로')",3
"('나오다', '맛있다')",3
"('두다', '먹다')",3
"('자주', '좋다')",3
"('살짝', '좋다')",3
"('나물', '좋다')",3
"('먹다', '물다')",3
"('물다', '재주')",3
"('오다', '주문')",3
"('믿다', '좋다')",3
"('드리다', '먹다')",3
"('꼼꼼하다', '먹다')",3
"('맵다', '좋아하다')",3
"('맛있다', '식구')",3
"('만족하다', '먹다')",3
"('없다', '진짜')",3
"('달', '맛')",3
"('먹다', '하루')",3
"('가격', '맛있다')",3
"('가족', '주문')",3
"('구입', '맛있다')",3
"('반찬', '양념')",3
"('달', '맛있다')",3
"('가족', '좋다')",3
"('맛있다', '물다')",3
"('식감', '아주')",3
"('그냥', '좋다')",3
"('나물', '맛')",3
"('부모님', '장아찌')",3
"('괜찮다', '넣다')",3
"('맛', '한번')",3
"('담다', '먹다')",3
"('포장', '한번')",3
"('괜찮다', '한번')",3
"('아주', '한번')",3
"('괜찮다', '엉망')",3
"('김밥', '주먹밥')",3
"('보다', '포장')",3
"('식감', '자주')",3
"('넣다', '아주')",3
"('맛', '아주')",3
"('넉넉하다', '먹다')",3
"('먹다', '시장')",3
"('단양', '먹다')",3
"('먹다', '사서')",3
"('맛', '후기')",3
"('담다', '맛있다')",3
"('보다', '짜지다')",3
"('구매', '보고')",3
"('맛', '일품')",3
"('개', '맛')",3
"('구매', '주문')",3
"('넣다', '식감')",3
"('맛', '양념')",3
"('믿다', '주문')",3
"('넣다', '양념')",3
"('없다', '장아찌')",3
"('궁채', '다르다')",3
"('거', '먹다')",3
"('거', '맛있다')",3
"('먹다', '제일')",3
"('밥', '집')",3
"('궁채', '없다')",3
"('다르다', '먹다')",3
"('받다', '빠르다')",3
"('만족스럽다', '장아찌')",3
"('시장', '주문')",3
"('장아찌', '초석')",3
"('집', '짜지다')",3
"('반찬', '없다')",3
"('궁채', '나다')",3
"('먹다', '씹다')",3
"('나오다', '먹다')",3
"('없다', '재')",3
"('구매', '짜지다')",3
"('궁채', '무')",3
"('나다', '장아찌')",3
"('좋아하다', '짜지다')",3
"('들어가다', '먹다')",3
"('없다', '집')",3
"('식감', '없다')",3
"('사먹다', '없다')",3
