,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
454,깔끔하고 맛있어요~~,5,2023.10.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
455,맛있어서 재구매했어요,5,2023.10.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
456,후기에 낚였네요  식당서 맛본 그맛이 아니네요 ㅠ,1,2023.10.27.,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요,,맛 없어요,꽤 남았어요,적당해요
457,맛있어서 또주문했어요 깨끗하고...,5,2023.10.26.,구매자거주인원 4인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인,아주 넉넉해요,꼼꼼해요,맛있어요
458,배송도 빠르고 맛있어요,5,2023.10.25.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
459,5번째구매중입니다.,5,2023.10.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
460,"너무맛있어요ㅠ
인생장아찌에요!!",5,2023.10.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
461,제입에는 짠맛이 강하네요 ㅠ,5,2023.10.25.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
462,재주문해서 먹는식품중에하나이고 맛있어요,5,2023.10.25.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
463,대체적으로  원했던  맛인데 좀  더  달고  새콤했으면  하네요,3,2023.10.25.,맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요,,평범해요,꽤 남았어요,꼼꼼해요
464,빠른 배송에 잘 받았습니다.,5,2023.10.25.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
465,매달 시켜먹을정도로 맛있어요,5,2023.10.25.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
466,꼬들하니 맛있어요 매달 시켜먹어요,5,2023.10.25.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
467,"아이가 어릴때부터 유리네 궁채만 먹어요
아주맛있고 좋습니다 저번 궁채는 약간 거친
심지같은게 많아서 씹는식감이 몇몇 거북한게
있었는데 이번엔 아주좋아요!!",5,2023.10.24.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
468,아삭아삭하고 새콤해서 밥맛 없을 때 참 좋아요 맛있습니다,5,2023.10.24.,구매자거주인원 1인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 1인싱글,아주 넉넉해요,꼼꼼해요,맛있어요
469,"오독오독 아삭아삭 식감 최고구요
적당한 간의 장아찌라 좋았어요
너무 짜도 많이 못먹어 
시간지나도 꾀 남아 버리게 되는데
이건 적당해서 좋아요",5,2023.10.24.,구매자거주인원 3인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요
470,좋아요좋아요좋아요좋아요,5,2023.10.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
471,너무맛있어서 자주 구매합니다 번창하세요!,5,2023.10.23.,구매자거주인원 4인영유아 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
472,너무맛있어서 자주 구매합니다 번창하세요!,5,2023.10.23.,구매자거주인원 4인영유아 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
473,"다먹고 이제 또 주문하려구요
한달에 3개 너무 금방 먹네요 
맛있어요",5,2023.10.23.,구매자거주인원 2인신혼/부부유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,꽤 남았어요,꼼꼼해요,맛있어요
474,달콤 새콤하니 맛있습니다.,5,2023.10.22.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
475,궁채를  좋아하는데 짱아찌도 많이 드시는것같아 구매 해보았어요.  오독아삭? 누룽지 먹을때도 고기먹을때도 딱이네요^^,5,2023.10.22.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
476,"궁채 넘 좋아하는데 , 팔길래 주문했어요! 
아삭아삭 식감 좋고 간장 잘 달이셨네요~ 
진짜 밥도둑이에요! 포장도 꼼꼼하고 용기도 좋아요!",5,2023.10.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
477,"맛있네요.
한번은 재구매할듯",4,2023.10.21.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
478,맛있어서 재구매해요,5,2023.10.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
479,궁채라는걸  첨먹어봣는데  아삭아삭   맛있네요~,5,2023.10.21.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
480,궁채 장아찌는 유리네게 최고죠 이번에도 맛납니다 어른들도 잘드세요 많이파세요^~~,5,2023.10.21.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
481,아삭아삭하고 맛있어요,4,2023.10.20.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
482,아삭아삭하니  식감이 좋아요  삼겹살이랑 먹음 궁합이 좋아요,5,2023.10.19.,맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요,,평범해요,꽤 남았어요,꼼꼼해요
483,잘 먹고 있어요 맛있어요,5,2023.10.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
484,잘 먹고있는 반찬~ 맛있습니다,5,2023.10.19.,구매자거주인원 4인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요
485,요즘 저희집은 김치를 안먹어요. 너무 맛있습니다. 또 주문할께요.,5,2023.10.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
486,"떨어지지 않게 미리미리 쟁여 놓은 밑반찬 입니다.
고기 먹을때, 김밥쌀때(단무지 대용) 등 냉장고에 항상 대기중인 밑반찬입니다.",5,2023.10.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
487,조아요 조아요 조아요 조아요 조아요 조아요,5,2023.10.18.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
488,첨가물 없는 장아찌 찾다가 발견하고 바로 주문했어요.아삭아삭하고 맛있어요!,5,2023.10.17.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
489,좋아요완벽하고또살게요굿,5,2023.10.17.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
490,"맛있어서 또 주문하려구요ㅋㅋ
대박나세요~~",5,2023.10.17.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
491,배송도빠르고좋아요 ㅎ,5,2023.10.16.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
